National Team,Group,Manager,Manager Nationality,Manager Appointed,Matches Since Jan 2024,Wins,Draws,Losses,Win %,Loss %,Avg Goals Scored Per Game,Avg Goals Conceded Per Game,Confederation,Notes
USA,D,Mauricio Pochettino,Argentine,Dec 2023,20,11,4,5,55.0%,25.0%,1.6,1.3,CONCACAF,Host nation (automatic qualifier); appointed Dec 2023; home tournament advantage
Canada,B,Jesse Marsch,American,Jan 2023,21,12,4,5,57.1%,23.8%,1.7,1.2,CONCACAF,Host nation (automatic qualifier); qualification was seamless as host
Panama,L,Thomas Christiansen,Danish,Mar 2022,18,8,4,6,44.4%,33.3%,1.3,1.5,CONCACAF,First WC outside of host-nation bonus; physical organised defensive setup
Haiti,C,Sebastien Migne,French,Jan 2023,18,7,4,7,38.9%,38.9%,1.2,1.6,CONCACAF,Migne qualified Haiti despite never visiting Haiti due to security situation
Curacao,E,Dick Advocaat,Dutch,Nov 2023,16,7,3,6,43.8%,37.5%,1.4,1.5,CONCACAF,World Cup debut; Advocaat (age 78) oldest manager at tournament; resigned/returned in 2026
Japan,F,Hajime Moriyasu,Japanese,Aug 2018,22,16,3,3,72.7%,13.6%,2.2,0.8,AFC,Qualified early with 3 group games to spare; 8th consecutive WC; strong pressing system
South Korea,A,Hong Myung-bo,South Korean,Mar 2024,18,10,3,5,55.6%,27.8%,1.7,1.3,AFC,Topped AFC Group B; 10th consecutive WC; Son Heung-min's likely final tournament
Australia,D,Tony Popovic,Australian,Nov 2023,18,9,3,6,50.0%,33.3%,1.5,1.4,AFC,Appointed Nov 2023; qualified through AFC rounds; Popovic a former international defender
Iran,K,Amir Ghalenoei,Iranian,May 2023,20,12,3,5,60.0%,25.0%,1.7,1.1,AFC,Topped AFC qualifying group ahead of Uzbekistan; physical defensive style
Saudi Arabia,H,Hervé Renard,French,Oct 2024,14,6,2,6,42.9%,42.9%,1.3,1.6,AFC,Appointed Oct 2024; sacked Apr 2026 and replaced by Giorgos Donis (per Soccerphile); listed here as last known coach during qualification
Qatar,B,Julen Lopetegui,Spanish,Aug 2024,16,8,3,5,50.0%,31.3%,1.6,1.2,AFC,Appointed Aug 2024; qualified via 2-1 win over UAE; hosting debut in 2022 WC as hosts only
Jordan,J,Jamal Sellami,Jordanian,Oct 2022,18,7,4,7,38.9%,38.9%,1.2,1.5,AFC,First-ever World Cup qualification; historic achievement for Jordan
Uzbekistan,K,Srecko Katanec,Slovenian,Jan 2023,20,10,4,6,50.0%,30.0%,1.5,1.3,AFC,First-ever World Cup appearance; formerly part of Soviet Union
Iraq,I,Jesus Casas,Spanish,Sep 2023,21,10,4,7,47.6%,33.3%,1.4,1.4,AFC,Played 21 qualifying matches over 28 months; longest qualifying campaign
Morocco,C,Mohamed Ouahbi,Moroccan,Jan 2026,8,5,1,2,62.5%,25.0%,1.8,0.9,CAF,Appointed Jan 2026 after Regragui's resignation post-2025 AFCON controversy; 2022 WC semi-finalists
Senegal,I,Pape Thiaw,Senegalese,Oct 2023,18,11,3,4,61.1%,22.2%,1.8,1.0,CAF,Won 2025 AFCON; Thiaw previously coached Senegal A domestic team
Egypt,G,Hossam Hassan,Egyptian,Dec 2023,18,9,3,6,50.0%,33.3%,1.5,1.3,CAF,Hossam Hassan appointed Dec 2023; Egypt legend turned coach
Ivory Coast,E,Emerse Fae,Ivorian,Feb 2024,16,9,2,5,56.3%,31.3%,1.7,1.2,CAF,Fae won 2023 AFCON; appointed permanent coach Feb 2024
Ghana,E,Carlos Queiroz,Portuguese,Apr 2026,2,1,0,1,50.0%,50.0%,1.5,1.5,CAF,Replaced Otto Addo (sacked Mar 2026); minimal data post-appointment; Queiroz experienced WC coach (5 WCs)
Algeria,J,Vladimir Petkovic,Swiss,Aug 2022,20,10,4,6,50.0%,30.0%,1.6,1.3,CAF,Former Switzerland manager; rebuilt Algeria after 2022 WC miss
Tunisia,F,Sami Trabelsi,Tunisian,Feb 2025,10,5,2,3,50.0%,30.0%,1.5,1.2,CAF,"Appointed Feb 2025; note: Lamouchi briefly replaced him mid-WC per Soccerphile, but Trabelsi listed as appointed coach for dataset"
South Africa,A,Hugo Broos,Belgian,May 2021,20,10,3,7,50.0%,35.0%,1.4,1.4,CAF,Ended 16-year WC absence; 3-0 win over Rwanda to qualify; beat Czechia 1-1 in WC group
Cabo Verde (Cape Verde),H,Bubista,Portuguese,Jul 2020,20,11,3,6,55.0%,30.0%,1.6,1.1,CAF,Won CAF Coach of Year 2025; historic first-ever WC qualification
DR Congo,K,Sebastien Desabre,French,Sep 2024,14,6,3,5,42.9%,35.7%,1.4,1.4,CAF,Qualified via inter-confederation playoff; Desabre appointed Sep 2024
New Zealand,G,Darren Bazeley,New Zealander,Jun 2024,12,6,2,4,50.0%,33.3%,1.5,1.4,OFC,Won OFC playoff to qualify; Bazeley a former Watford and Wolves winger turned coach
Paraguay,D,Gustavo Alfaro,Argentine,Aug 2023,20,9,5,6,45.0%,30.0%,1.4,1.3,CONMEBOL,First WC since 2010; qualified via 0-0 draw with Ecuador in Sep 2025
Colombia,K,Nestor Lorenzo,Argentine,Jun 2022,22,13,4,5,59.1%,22.7%,2.0,1.0,CONMEBOL,Returned after missing Qatar 2022; James Rodriguez scored opener in qualification
Uruguay,H,Marcelo Bielsa,Argentine,Jun 2023,21,13,4,4,61.9%,19.0%,2.0,0.9,CONMEBOL,5th successive WC; 3-0 win over Peru to qualify; Bielsa's philosophy-driven approach
Ecuador,E,Sebastian Beccacece,Argentine,Jan 2024,18,10,3,5,55.6%,27.8%,1.7,1.2,CONMEBOL,Qualified comfortably; 0-0 draw with Peru on Jun 10 sealed their spot
